ลำดับ,ภูมิภาค,รหัสจังหวัด,จังหวัด (ไทย),จังหวัด (อังกฤษ),รหัสอำเภอ,อำเภอ/เขต (ไทย),อำเภอ/เขต (อังกฤษ),รหัสตำบล,ตำบล/แขวง (ไทย),ตำบล/แขวง (อังกฤษ),รหัสไปรษณีย์
4156,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500101,ศรีภูมิ,Si Phum,50200
4157,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500102,พระสิงห์,Phra Sing,50200
4158,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500103,หายยา,Hai Ya,50100
4159,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500104,ช้างม่อย,Chang Moi,50300
4160,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500105,ช้างคลาน,Chang Khlan,50100
4161,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500106,วัดเกต,Wat Ket,50000
4162,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500107,ช้างเผือก,Chang Phueak,50300
4163,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500108,สุเทพ,Su Thep,50200
4164,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500109,แม่เหียะ,Mae Hia,50100
4165,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500110,ป่าแดด,Pa Daet,50100
4166,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500111,หนองหอย,Nong Hoi,50000
4167,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500112,ท่าศาลา,Tha Sala,50000
4168,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500113,หนองป่าครั่ง,Nong Pa Khrang,50000
4169,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500114,ฟ้าฮ่าม,Fa Ham,50000
4170,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500115,ป่าตัน,Pa Tan,50300
4171,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5001,เมืองเชียงใหม่,Mueang Chiang Mai,500116,สันผีเสื้อ,San Phisuea,50300
4172,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5002,จอมทอง,Chom Thong,500203,บ้านหลวง,Ban Luang,50160
4173,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5002,จอมทอง,Chom Thong,500204,ข่วงเปา,Khuang Pao,50160
4174,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5002,จอมทอง,Chom Thong,500205,สบเตี๊ยะ,Sop Tia,50160
4175,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5002,จอมทอง,Chom Thong,500206,บ้านแปะ,Ban Pae,50240
4176,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5002,จอมทอง,Chom Thong,500207,ดอยแก้ว,Doi Kaeo,50160
4177,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5002,จอมทอง,Chom Thong,500209,แม่สอย,Mae Soi,50240
4178,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5003,แม่แจ่ม,Mae Chaem,500301,ช่างเคิ่ง,Chang Khoeng,50270
4179,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5003,แม่แจ่ม,Mae Chaem,500302,ท่าผา,Tha Pha,50270
4180,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5003,แม่แจ่ม,Mae Chaem,500303,บ้านทับ,Ban Thap,50270
4181,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5003,แม่แจ่ม,Mae Chaem,500304,แม่ศึก,Mae Suek,50270
4182,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5003,แม่แจ่ม,Mae Chaem,500305,แม่นาจร,Mae Na Chon,50270
4183,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5003,แม่แจ่ม,Mae Chaem,500307,ปางหินฝน,Pang Hin Fon,50270
4184,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5003,แม่แจ่ม,Mae Chaem,500308,กองแขก,Kong Khaek,50270
4185,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5004,เชียงดาว,Chiang Dao,500401,เชียงดาว,Chiang Dao,50170
4186,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5004,เชียงดาว,Chiang Dao,500402,เมืองนะ,Mueang Na,50170
4187,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5004,เชียงดาว,Chiang Dao,500403,เมืองงาย,Mueang Ngai,50170
4188,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5004,เชียงดาว,Chiang Dao,500404,แม่นะ,Mae Na,50170
4189,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5004,เชียงดาว,Chiang Dao,500405,เมืองคอง,Mueang Khong,50170
4190,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5004,เชียงดาว,Chiang Dao,500406,ปิงโค้ง,Ping Khong,50170
4191,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5004,เชียงดาว,Chiang Dao,500407,ทุ่งข้าวพวง,Thung Khao Phuang,50170
4192,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5005,ดอยสะเก็ด,Doi Saket,500501,เชิงดอย,Choeng Doi,50220
4193,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5005,ดอยสะเก็ด,Doi Saket,500502,สันปูเลย,San Pu Loei,50220
4194,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5005,ดอยสะเก็ด,Doi Saket,500503,ลวงเหนือ,Luang Nuea,50220
4195,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5005,ดอยสะเก็ด,Doi Saket,500504,ป่าป้อง,Pa Pong,50220
4196,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5005,ดอยสะเก็ด,Doi Saket,500505,สง่าบ้าน,Sa-Nga Ban,50220
4197,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5005,ดอยสะเก็ด,Doi Saket,500506,ป่าลาน,Pa Lan,50220
4198,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5005,ดอยสะเก็ด,Doi Saket,500507,ตลาดขวัญ,Talat Khwan,50220
4199,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5005,ดอยสะเก็ด,Doi Saket,500508,สำราญราษฎร์,Samran Rat,50220
4200,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5005,ดอยสะเก็ด,Doi Saket,500509,แม่คือ,Mae Khue,50220
4201,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5005,ดอยสะเก็ด,Doi Saket,500510,ตลาดใหญ่,Talat Yai,50220
4202,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5005,ดอยสะเก็ด,Doi Saket,500511,แม่ฮ้อยเงิน,Mae Hoi Ngoen,50220
4203,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5005,ดอยสะเก็ด,Doi Saket,500512,แม่โป่ง,Mae Pong,50220
4204,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5005,ดอยสะเก็ด,Doi Saket,500513,ป่าเมี่ยง,Pa Miang,50220
4205,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5005,ดอยสะเก็ด,Doi Saket,500514,เทพเสด็จ,Thep Sadet,50220
4206,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5006,แม่แตง,Mae Taeng,500601,สันมหาพน,San Mahaphon,50150
4207,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5006,แม่แตง,Mae Taeng,500602,แม่แตง,Mae Taeng,50150
4208,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5006,แม่แตง,Mae Taeng,500603,ขี้เหล็ก,Khi Lek,50150
4209,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5006,แม่แตง,Mae Taeng,500604,ช่อแล,Cho Lae,50150
4210,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5006,แม่แตง,Mae Taeng,500605,แม่หอพระ,Mae Ho Phra,50150
4211,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5006,แม่แตง,Mae Taeng,500606,สบเปิง,Sop Poeng,50150
4212,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5006,แม่แตง,Mae Taeng,500607,บ้านเป้า,Ban Pao,50150
4213,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5006,แม่แตง,Mae Taeng,500608,สันป่ายาง,San Pa Yang,50330
4214,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5006,แม่แตง,Mae Taeng,500609,ป่าแป๋,Pa Pae,50150
4215,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5006,แม่แตง,Mae Taeng,500610,เมืองก๋าย,Mueang Kai,50150
4216,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5006,แม่แตง,Mae Taeng,500611,บ้านช้าง,Ban Chang,50150
4217,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5006,แม่แตง,Mae Taeng,500612,กื้ดช้าง,Kuet Chang,50150
4218,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5006,แม่แตง,Mae Taeng,500613,อินทขิล,Inthakhin,50150
4219,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5007,แม่ริม,Mae Rim,500701,ริมใต้,Rim Tai,50180
4220,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5007,แม่ริม,Mae Rim,500702,ริมเหนือ,Rim Nuea,50180
4221,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5007,แม่ริม,Mae Rim,500703,สันโป่ง,San Pong,50180
4222,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5007,แม่ริม,Mae Rim,500704,ขี้เหล็ก,Khi Lek,50180
4223,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5007,แม่ริม,Mae Rim,500705,สะลวง,Saluang,50330
4224,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5007,แม่ริม,Mae Rim,500706,ห้วยทราย,Huai Sai,50180
4225,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5007,แม่ริม,Mae Rim,500707,แม่แรม,Mae Raem,50180
4226,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5007,แม่ริม,Mae Rim,500708,โป่งแยง,Pong Yaeng,50180
4227,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5007,แม่ริม,Mae Rim,500709,แม่สา,Mae Sa,50180
4228,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5007,แม่ริม,Mae Rim,500710,ดอนแก้ว,Don Kaeo,50180
4229,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5007,แม่ริม,Mae Rim,500711,เหมืองแก้ว,Mueang Kaeo,50180
4230,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5008,สะเมิง,Samoeng,500801,สะเมิงใต้,Samoeng Tai,50250
4231,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5008,สะเมิง,Samoeng,500802,สะเมิงเหนือ,Samoeng Nuea,50250
4232,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5008,สะเมิง,Samoeng,500803,แม่สาบ,Mae Sap,50250
4233,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5008,สะเมิง,Samoeng,500804,บ่อแก้ว,Bo Kaeo,50250
4234,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5008,สะเมิง,Samoeng,500805,ยั้งเมิน,Yung Moen,50250
4235,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5009,ฝาง,Fang,500901,เวียง,Wiang,50110
4236,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5009,ฝาง,Fang,500903,ม่อนปิ่น,Mon Pin,50110
4237,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5009,ฝาง,Fang,500904,แม่งอน,Mae Ngon,50320
4238,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5009,ฝาง,Fang,500905,แม่สูน,Mae Soon,50110
4239,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5009,ฝาง,Fang,500906,สันทราย,San Sai,50110
4240,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5009,ฝาง,Fang,500910,แม่คะ,Mae Kha,50110
4241,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5009,ฝาง,Fang,500911,แม่ข่า,Mae Kha,50320
4242,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5009,ฝาง,Fang,500912,โป่งน้ำร้อน,Pong Nam Ron,50110
4243,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5010,แม่อาย,Mae Ai,501001,แม่อาย,Mae Ai,50280
4244,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5010,แม่อาย,Mae Ai,501002,แม่สาว,Mae Sao,50280
4245,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5010,แม่อาย,Mae Ai,501003,สันต้นหมื้อ,San Ton Mue,50280
4246,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5010,แม่อาย,Mae Ai,501004,แม่นาวาง,Mae Na Wang,50280
4247,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5010,แม่อาย,Mae Ai,501005,ท่าตอน,Tha Ton,50280
4248,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5010,แม่อาย,Mae Ai,501006,บ้านหลวง,Ban Luang,50280
4249,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5010,แม่อาย,Mae Ai,501007,มะลิกา,Malika,50280
4250,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5011,พร้าว,Phrao,501101,เวียง,Wiang,50190
4251,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5011,พร้าว,Phrao,501102,ทุ่งหลวง,Thung Luang,50190
4252,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5011,พร้าว,Phrao,501103,ป่าตุ้ม,Pa Tum,50190
4253,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5011,พร้าว,Phrao,501104,ป่าไหน่,Pa Nai,50190
4254,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5011,พร้าว,Phrao,501105,สันทราย,San Sai,50190
4255,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5011,พร้าว,Phrao,501106,บ้านโป่ง,Ban Pong,50190
4256,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5011,พร้าว,Phrao,501107,น้ำแพร่,Nam Phrae,50190
4257,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5011,พร้าว,Phrao,501108,เขื่อนผาก,Khuean Phak,50190
4258,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5011,พร้าว,Phrao,501109,แม่แวน,Mae Waen,50190
4259,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5011,พร้าว,Phrao,501110,แม่ปั๋ง,Mae Pang,50190
4260,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5011,พร้าว,Phrao,501111,โหล่งขอด,Long Khot,50190
4261,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5012,สันป่าตอง,San Pa Tong,501201,ยุหว่า,Yu Wa,50120
4262,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5012,สันป่าตอง,San Pa Tong,501202,สันกลาง,San Klang,50120
4263,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5012,สันป่าตอง,San Pa Tong,501203,ท่าวังพร้าว,Tha Wang Phrao,50120
4264,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5012,สันป่าตอง,San Pa Tong,501204,มะขามหลวง,Makham Luang,50120
4265,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5012,สันป่าตอง,San Pa Tong,501205,แม่ก๊า,Mae Ka,50120
4266,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5012,สันป่าตอง,San Pa Tong,501206,บ้านแม,Ban Mae,50120
4267,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5012,สันป่าตอง,San Pa Tong,501207,บ้านกลาง,Ban Klang,50120
4268,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5012,สันป่าตอง,San Pa Tong,501208,ทุ่งสะโตก,Thung Satok,50120
4269,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5012,สันป่าตอง,San Pa Tong,501210,ทุ่งต้อม,Thung Tom,50120
4270,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5012,สันป่าตอง,San Pa Tong,501214,น้ำบ่อหลวง,Nam Bo Luang,50120
4271,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5012,สันป่าตอง,San Pa Tong,501215,มะขุนหวาน,Makhun Wan,50120
4272,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5013,สันกำแพง,San Kamphaeng,501301,สันกำแพง,San Kamphaeng,50130
4273,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5013,สันกำแพง,San Kamphaeng,501302,ทรายมูล,Sai Mun,50130
4274,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5013,สันกำแพง,San Kamphaeng,501303,ร้องวัวแดง,Rong Wua Daeng,50130
4275,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5013,สันกำแพง,San Kamphaeng,501304,บวกค้าง,Buak Khang,50130
4276,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5013,สันกำแพง,San Kamphaeng,501305,แช่ช้าง,Chae Chang,50130
4277,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5013,สันกำแพง,San Kamphaeng,501306,ออนใต้,On Tai,50130
4278,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5013,สันกำแพง,San Kamphaeng,501310,แม่ปูคา,Mae Pu Kha,50130
4279,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5013,สันกำแพง,San Kamphaeng,501311,ห้วยทราย,Huai Sai,50130
4280,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5013,สันกำแพง,San Kamphaeng,501312,ต้นเปา,Ton Pao,50130
4281,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5013,สันกำแพง,San Kamphaeng,501313,สันกลาง,San Klang,50130
4282,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5014,สันทราย,San Sai,501401,สันทรายหลวง,San Sai Luang,50210
4283,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5014,สันทราย,San Sai,501402,สันทรายน้อย,San Sai Noi,50210
4284,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5014,สันทราย,San Sai,501403,สันพระเนตร,San Phranet,50210
4285,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5014,สันทราย,San Sai,501404,สันนาเม็ง,San Na Meng,50210
4286,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5014,สันทราย,San Sai,501405,สันป่าเปา,San Pa Pao,50210
4287,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5014,สันทราย,San Sai,501406,หนองแหย่ง,Nong Yaeng,50210
4288,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5014,สันทราย,San Sai,501407,หนองจ๊อม,Nong Chom,50210
4289,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5014,สันทราย,San Sai,501408,หนองหาร,Nong Han,50290
4290,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5014,สันทราย,San Sai,501409,แม่แฝก,Mae Faek,50290
4291,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5014,สันทราย,San Sai,501410,แม่แฝกใหม่,Mae Faek Mai,50290
4292,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5014,สันทราย,San Sai,501411,เมืองเล็น,Mueang Len,50210
4293,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5014,สันทราย,San Sai,501412,ป่าไผ่,Pa Phai,50210
4294,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5015,หางดง,Hang Dong,501501,หางดง,Hang Dong,50230
4295,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5015,หางดง,Hang Dong,501502,หนองแก๋ว,Nong Kaeo,50230
4296,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5015,หางดง,Hang Dong,501503,หารแก้ว,Han Kaeo,50230
4297,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5015,หางดง,Hang Dong,501504,หนองตอง,Nong Tong,50340
4298,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5015,หางดง,Hang Dong,501505,ขุนคง,Khun Khong,50230
4299,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5015,หางดง,Hang Dong,501506,สบแม่ข่า,Sop Mae Kha,50230
4300,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5015,หางดง,Hang Dong,501507,บ้านแหวน,Ban Waen,50230
4301,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5015,หางดง,Hang Dong,501508,สันผักหวาน,San Phak Wan,50230
4302,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5015,หางดง,Hang Dong,501509,หนองควาย,Nong Khwai,50230
4303,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5015,หางดง,Hang Dong,501510,บ้านปง,Ban Pong,50230
4304,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5015,หางดง,Hang Dong,501511,น้ำแพร่,Nam Phrae,50230
4305,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5016,ฮอด,Hot,501601,หางดง,Hang Dong,50240
4306,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5016,ฮอด,Hot,501602,ฮอด,Hot,50240
4307,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5016,ฮอด,Hot,501603,บ้านตาล,Ban Tan,50240
4308,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5016,ฮอด,Hot,501604,บ่อหลวง,Bo Luang,50240
4309,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5016,ฮอด,Hot,501605,บ่อสลี,Bo Sali,50240
4310,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5016,ฮอด,Hot,501606,นาคอเรือ,Na Kho Ruea,50240
4311,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5017,ดอยเต่า,Doi Tao,501701,ดอยเต่า,Doi Tao,50260
4312,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5017,ดอยเต่า,Doi Tao,501702,ท่าเดื่อ,Tha Duea,50260
4313,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5017,ดอยเต่า,Doi Tao,501703,มืดกา,Muet Ka,50260
4314,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5017,ดอยเต่า,Doi Tao,501704,บ้านแอ่น,Ban Aen,50260
4315,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5017,ดอยเต่า,Doi Tao,501705,บงตัน,Bong Tan,50260
4316,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5017,ดอยเต่า,Doi Tao,501706,โปงทุ่ง,Pong Thung,50260
4317,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5018,อมก๋อย,Omkoi,501801,อมก๋อย,Omkoi,50310
4318,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5018,อมก๋อย,Omkoi,501802,ยางเปียง,Yang Piang,50310
4319,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5018,อมก๋อย,Omkoi,501803,แม่ตื่น,Mae Tuen,50310
4320,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5018,อมก๋อย,Omkoi,501804,ม่อนจอง,Mon Chong,50310
4321,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5018,อมก๋อย,Omkoi,501805,แม่หลอง,Sop Khong,50310
4322,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5018,อมก๋อย,Omkoi,501806,นาเกียน,Na Kian,50310
4323,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5019,สารภี,Saraphi,501901,ยางเนิ้ง,Yang Noeng,50140
4324,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5019,สารภี,Saraphi,501902,สารภี,Saraphi,50140
4325,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5019,สารภี,Saraphi,501903,ชมภู,Chomphu,50140
4326,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5019,สารภี,Saraphi,501904,ไชยสถาน,Chaiya Sathan,50140
4327,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5019,สารภี,Saraphi,501905,ขัวมุง,Khua Mung,50140
4328,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5019,สารภี,Saraphi,501906,หนองแฝก,Nong Faek,50140
4329,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5019,สารภี,Saraphi,501907,หนองผึ้ง,Nong Phueng,50140
4330,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5019,สารภี,Saraphi,501908,ท่ากว้าง,Tha Kwang,50140
4331,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5019,สารภี,Saraphi,501909,ดอนแก้ว,Don Kaeo,50140
4332,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5019,สารภี,Saraphi,501910,ท่าวังตาล,Tha Wang Tan,50140
4333,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5019,สารภี,Saraphi,501911,สันทราย,San Sai,50140
4334,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5019,สารภี,Saraphi,501912,ป่าบง,Pa Bong,50140
4335,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5020,เวียงแหง,Wiang Haeng,502001,เมืองแหง,Mueang Haeng,50350
4336,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5020,เวียงแหง,Wiang Haeng,502002,เปียงหลวง,Piang Luang,50350
4337,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5020,เวียงแหง,Wiang Haeng,502003,แสนไห,Saen Hai,50350
4338,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5021,ไชยปราการ,Chai Prakan,502101,ปงตำ,Pong Tam,50320
4339,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5021,ไชยปราการ,Chai Prakan,502102,ศรีดงเย็น,Si Dong Yen,50320
4340,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5021,ไชยปราการ,Chai Prakan,502103,แม่ทะลบ,Mae Thalop,50320
4341,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5021,ไชยปราการ,Chai Prakan,502104,หนองบัว,Nong Bua,50320
4342,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5022,แม่วาง,Mae Wang,502201,บ้านกาด,Ban Kat,50360
4343,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5022,แม่วาง,Mae Wang,502202,ทุ่งปี๊,Thung Pi,50360
4344,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5022,แม่วาง,Mae Wang,502203,ทุ่งรวงทอง,Thung Ruang Thong,50360
4345,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5022,แม่วาง,Mae Wang,502204,แม่วิน,Mae Win,50360
4346,ภาคเหนือ,50,เชียงใหม่,Chiang Mai,5022,แม่วาง,Mae Wang,502205,ดอนเปา,Don Pao,50360
