ลำดับ,ภูมิภาค,รหัสจังหวัด,จังหวัด (ไทย),จังหวัด (อังกฤษ),รหัสอำเภอ,อำเภอ/เขต (ไทย),อำเภอ/เขต (อังกฤษ),รหัสตำบล,ตำบล/แขวง (ไทย),ตำบล/แขวง (อังกฤษ),รหัสไปรษณีย์
51,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1011,ลาดกระบัง,Lat Krabang,101104,ลำปลาทิว,Lam Pla Thio,10520
52,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1011,ลาดกระบัง,Lat Krabang,101105,ทับยาว,Thap Yao,10520
53,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1011,ลาดกระบัง,Lat Krabang,101106,ขุมทอง,Khum Thong,10520
54,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1012,ยานนาวา,Yannawa,101203,ช่องนนทรี,Chong Nonsi,10120
55,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1012,ยานนาวา,Yannawa,101204,บางโพงพาง,Bang Phongphang,10120
56,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1013,สัมพันธวงศ์,Samphanthawong,101301,จักรวรรดิ,Chakkrawat,10100
57,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1013,สัมพันธวงศ์,Samphanthawong,101302,สัมพันธวงศ์,Samphanthawong,10100
58,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1013,สัมพันธวงศ์,Samphanthawong,101303,ตลาดน้อย,Talat Noi,10100
59,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1014,พญาไท,Phaya Thai,101401,สามเสนใน,Sam Sen Nai,10400
60,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1014,พญาไท,Phaya Thai,101406,พญาไท,Phaya Thai,10400
61,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1015,ธนบุรี,Thon Buri,101501,วัดกัลยาณ์,Wat Kanlaya,10600
62,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1015,ธนบุรี,Thon Buri,101502,หิรัญรูจี,Hiran Ruchi,10600
63,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1015,ธนบุรี,Thon Buri,101503,บางยี่เรือ,Bang Yi Ruea,10600
64,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1015,ธนบุรี,Thon Buri,101504,บุคคโล,Bukkhalo,10600
65,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1015,ธนบุรี,Thon Buri,101505,ตลาดพลู,Talat Phlu,10600
66,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1015,ธนบุรี,Thon Buri,101506,ดาวคะนอง,Dao Khanong,10600
67,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1015,ธนบุรี,Thon Buri,101507,สำเหร่,Samre,10600
68,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1016,บางกอกใหญ่,Bangkok Yai,101601,วัดอรุณ,Wat Arun,10600
69,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1016,บางกอกใหญ่,Bangkok Yai,101602,วัดท่าพระ,Wat Tha Phra,10600
70,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1017,ห้วยขวาง,Huai Khwang,101701,ห้วยขวาง,Huai Khwang,10310
71,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1017,ห้วยขวาง,Huai Khwang,101702,บางกะปิ,Bang Kapi,10310
72,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1017,ห้วยขวาง,Huai Khwang,101704,สามเสนนอก,Sam Sen Nok,10310
73,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1018,คลองสาน,Khlong San,101801,สมเด็จเจ้าพระยา,Somdet Chao Phraya,10600
74,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1018,คลองสาน,Khlong San,101802,คลองสาน,Khlong San,10600
75,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1018,คลองสาน,Khlong San,101803,บางลำภูล่าง,Bang Lamphu Lang,10600
76,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1018,คลองสาน,Khlong San,101804,คลองต้นไทร,Khlong Ton Sai,10600
77,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1019,ตลิ่งชัน,Taling Chan,101901,คลองชักพระ,Khlong Chak Phra,10170
78,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1019,ตลิ่งชัน,Taling Chan,101902,ตลิ่งชัน,Taling Chan,10170
79,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1019,ตลิ่งชัน,Taling Chan,101903,ฉิมพลี,Chimphli,10170
80,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1019,ตลิ่งชัน,Taling Chan,101904,บางพรม,Bang Phrom,10170
